Atliktu zingsniu skaicius: 17
Atliktu funkcijos skaiciavimu skaicius: 60
Bandymo taskai:
step        x               f(x):
1.      5.000000000        323.000000000
2.      2.500000000        -0.437500000
3.      2.500000000        -0.437500000
4.      2.500000000        -0.437500000
5.      2.500000000        -0.437500000
6.      2.656250000        -0.996901512
7.      2.656250000        -0.996901512
8.      2.656250000        -0.996901512
9.      2.636718750        -0.997723352
10.      2.646484375        -0.999984949
11.      2.646484375        -0.999984949
12.      2.646484375        -0.999984949
13.      2.645263672        -0.999993343
14.      2.645874023        -0.999999578
15.      2.645874023        -0.999999578
16.      2.645721436        -0.999999975
17.      2.645721436        -0.999999975
